emp_no,first_name,last_name,birth_date,from_date,to_date,dept_name
10019,Lillian,Haddadi,1953-01-23,1999-04-30,9999-01-01,Research
10139,Ewing,Foong,1963-03-03,1998-03-15,9999-01-01,Development
10240,Remko,Maccarone,1952-04-01,1998-10-06,9999-01-01,Quality Management
10298,Dietrich,DuCasse,1954-07-06,2002-05-05,9999-01-01,Production
10408,Martijn,Kaiser,1964-03-17,1998-10-07,9999-01-01,Sales
10423,Dante,Cronin,1956-01-10,1999-05-27,9999-01-01,Research
10543,Lein,Lichtman,1962-10-06,1998-11-24,9999-01-01,Finance
10552,Kazuhito,Shiratori,1953-03-25,1998-08-31,9999-01-01,Production
10684,Aimee,Tokunaga,1956-01-23,1999-10-28,9999-01-01,Production
10697,Bluma,Hiltgen,1958-04-09,1999-08-29,9999-01-01,Customer Service
10854,Jagoda,Nannarelli,1954-08-11,1998-07-13,9999-01-01,Development
11107,Martijn,Meriste,1958-06-19,1999-09-09,9999-01-01,Quality Management
11115,Sahrah,Demos,1958-06-27,1999-01-13,9999-01-01,Production
11177,Chrisa,dAstous,1954-04-09,1999-09-11,9999-01-01,Development
11213,Vugranam,Munoz,1955-10-19,1999-02-04,9999-01-01,Production
11254,Danel,Rindone,1954-12-14,1998-12-19,9999-01-01,Sales
11325,Samphel,Rossi,1952-02-06,1999-01-10,9999-01-01,Development
11456,Anyuan,Seuren,1958-07-21,2002-01-24,9999-01-01,Production
11479,Shridhar,Pleszkun,1953-12-02,1999-02-10,9999-01-01,Finance
11697,JoAnne,Merey,1957-12-20,1999-12-10,9999-01-01,Development
11754,Malu,Magliocco,1958-05-18,1999-11-06,9999-01-01,Research
11829,Chaosheng,Pettis,1952-08-01,1999-10-11,9999-01-01,Production
11873,Venkatesan,Reeken,1960-08-09,2000-07-06,9999-01-01,Sales
11884,Patricia,Moehrke,1963-04-10,1998-06-18,9999-01-01,Sales
11926,Leni,Felcyn,1955-04-06,1998-09-18,9999-01-01,Production
12015,Kensei,Guenter,1954-08-26,1999-11-16,9999-01-01,Research
12090,Shigenori,Angelopoulos,1955-03-27,1999-10-03,9999-01-01,Production
12196,JoAnne,Byoun,1959-05-14,1999-08-22,9999-01-01,Production
12259,Juichirou,Hofting,1960-03-19,1998-05-26,9999-01-01,Sales
12299,Billie,Kushner,1962-04-25,1999-01-24,9999-01-01,Development
12364,Neelam,Cummings,1954-07-01,1998-11-02,9999-01-01,Production
12389,Percy,Casperson,1963-10-16,1999-11-02,9999-01-01,Finance
12474,Remco,Maquelin,1957-11-09,1998-11-27,9999-01-01,Quality Management
12495,Mooi,Erni,1962-12-28,1999-12-13,9999-01-01,Marketing
12550,Shawna,Marzano,1957-09-16,1999-05-14,9999-01-01,Production
12643,Morrie,Schurmann,1965-01-30,1998-12-31,9999-01-01,Finance
12666,Stamatina,Prenel,1955-03-14,1998-04-19,9999-01-01,Production
12670,Seongbae,Alameldin,1952-06-10,1999-09-10,9999-01-01,Production
12712,Alagu,Chiodo,1959-12-15,2001-11-03,9999-01-01,Quality Management
12740,Khalid,Ferretti,1959-08-25,1998-05-15,9999-01-01,Research
12756,Mohit,Braccini,1962-04-26,1998-08-12,9999-01-01,Sales
12786,Weiyi,Schusler,1953-01-28,1999-12-08,9999-01-01,Production
12788,Kristina,Olano,1961-10-21,1999-10-15,9999-01-01,Development
12889,Mayumi,Mukaidono,1952-05-02,1999-04-28,9999-01-01,Development
13159,Jingling,Ranst,1954-09-22,1999-08-12,9999-01-01,Finance
13189,Yuuichi,Bazzichi,1955-11-29,1999-10-16,9999-01-01,Research
13206,Tetsurou,Rullman,1954-04-07,1999-09-06,9999-01-01,Finance
13218,Junichi,Attimonelli,1963-12-20,1999-03-30,9999-01-01,Production
13246,Adil,Siepmann,1952-06-09,1999-12-31,9999-01-01,Sales
13357,Mabry,Llado,1953-08-19,1999-01-24,9999-01-01,Production
13469,Yonghoan,Undy,1962-03-25,1999-12-03,9999-01-01,Research
13551,Shuichi,Ducloy,1962-10-30,1999-02-13,9999-01-01,Sales
13591,Jinxi,Poulakidas,1953-01-23,1999-06-24,9999-01-01,Development
13805,Barry,Veldwijk,1958-06-02,1999-09-09,9999-01-01,Sales
13819,Honglan,Percebois,1959-10-15,1999-05-19,9999-01-01,Production
13839,Waiman,Weedon,1957-11-25,2000-01-21,9999-01-01,Development
13905,Otilia,Haddadi,1960-04-06,1998-06-28,9999-01-01,Development
13919,Brewster,Sinicrope,1952-04-22,2001-08-05,9999-01-01,Customer Service
14025,Stevo,Takanami,1964-08-03,2001-08-07,9999-01-01,Sales
14084,Deniz,Halloran,1954-04-25,1999-10-25,9999-01-01,Development
14140,Kiam,Ramamoorthy,1955-12-23,1998-07-25,9999-01-01,Human Resources
14214,True,Swen,1955-10-03,1998-12-19,9999-01-01,Production
14216,Vitali,Worfolk,1957-09-04,1998-03-11,9999-01-01,Development
14308,Geoffrey,Zizka,1961-12-16,1998-02-03,9999-01-01,Production
14326,Iara,Speckmann,1955-09-07,1999-08-11,9999-01-01,Development
14386,Willard,Foong,1956-10-11,1998-06-02,9999-01-01,Development
14420,Aiman,Panangaden,1959-12-31,1999-07-12,9999-01-01,Production
14452,Akeel,Wallrath,1961-11-14,1999-04-18,9999-01-01,Research
14564,Tadahiro,Christ,1953-11-15,1998-12-04,9999-01-01,Human Resources
14657,Saddek,Casperson,1957-07-09,1998-09-28,9999-01-01,Sales
14715,Chuanyi,Knightly,1960-07-07,1998-05-22,9999-01-01,Sales
14737,Houman,Impagliazzo,1961-07-17,1999-10-15,9999-01-01,Sales
14758,Adin,Bolsens,1957-07-12,1998-04-06,9999-01-01,Sales
14832,Torsten,Siprelle,1956-02-29,1998-06-23,9999-01-01,Customer Service
14916,Fumino,Narlikar,1957-05-25,2000-07-15,9999-01-01,Marketing
15007,Visit,Sridhar,1956-02-27,1998-08-22,9999-01-01,Sales
15124,Adhemar,Percebois,1955-05-06,1999-09-26,9999-01-01,Human Resources
15169,Sanjoy,Matteis,1955-10-31,1999-09-10,9999-01-01,Production
15308,Jackson,Schaft,1955-11-14,1998-09-12,9999-01-01,Production
15368,Seongbin,Lortz,1963-07-18,1999-05-18,9999-01-01,Production
15426,Juichirou,Biran,1960-07-24,1999-09-30,9999-01-01,Production
15436,Kwangsub,Negoita,1964-03-13,1999-01-27,9999-01-01,Finance
15572,Sven,Nannarelli,1960-06-15,1998-03-08,9999-01-01,Customer Service
15963,LiMin,Lunt,1963-07-15,1999-11-22,9999-01-01,Human Resources
15972,Tadanori,Staudhammer,1958-02-18,1999-04-10,9999-01-01,Production
15986,Valdiodio,Neimat,1958-06-05,1998-07-10,9999-01-01,Finance
16114,Randy,Albarhamtoshy,1961-04-29,1998-04-25,9999-01-01,Production
16156,Fei,Kaminger,1954-09-08,1999-08-25,9999-01-01,Sales
16166,Eberhardt,Chandrasekhar,1955-09-19,1999-10-21,9999-01-01,Finance
16244,Parviz,Strandh,1961-09-16,2000-01-04,9999-01-01,Development
16259,Lidong,Wolniewicz,1958-12-20,1999-03-30,9999-01-01,Marketing
16308,Yannis,Waterhouse,1957-02-12,1999-10-16,9999-01-01,Finance
16564,Xiaopeng,Rusterholz,1957-01-11,1999-01-21,9999-01-01,Sales
16623,Stepehn,Boudaillier,1956-12-09,2001-10-21,9999-01-01,Development
16665,Zhilian,Zumaque,1959-01-04,1999-03-04,9999-01-01,Marketing
16692,Maria,Perelgut,1952-05-06,1998-05-19,9999-01-01,Development
16772,Baruch,Giveon,1952-09-08,1999-10-27,9999-01-01,Sales
16816,Mabo,Basawa,1962-08-26,1998-06-20,9999-01-01,Development
16855,Sashi,Berztiss,1962-10-05,1998-08-24,9999-01-01,Sales
16938,Shmuel,Shigei,1954-01-20,2001-09-09,9999-01-01,Customer Service
16960,Paddy,Ratnaker,1962-05-30,1998-11-02,9999-01-01,Sales
16981,Gino,Fontan,1956-05-10,1998-11-14,9999-01-01,Development
17034,Heng,Rehfuss,1953-06-13,1998-12-08,9999-01-01,Development
17077,Hironoby,Quittner,1961-11-20,1998-05-25,9999-01-01,Sales
17116,Denis,Mullainathan,1961-02-03,1998-12-23,9999-01-01,Production
17231,Wilmer,Yurek,1961-07-22,2001-09-26,9999-01-01,Production
17501,Srinidhi,Winter,1960-04-02,1998-04-18,9999-01-01,Development
17551,Mark,Foote,1954-02-21,2000-08-27,9999-01-01,Customer Service
17630,Reinhard,Biros,1959-11-25,1998-04-22,9999-01-01,Development
17721,Chiranjit,Hertweck,1961-10-03,2001-04-09,9999-01-01,Customer Service
17740,Valeska,Klyachko,1959-06-07,1999-08-20,9999-01-01,Development
17789,Snehasis,Gilg,1956-03-16,1999-12-31,9999-01-01,Development
17839,Chuanyi,Yoshimura,1963-01-21,1999-07-23,9999-01-01,Development
17883,Huan,Thebaut,1959-09-24,1998-01-29,9999-01-01,Development
17963,Danil,Gecsel,1953-09-08,1998-05-16,9999-01-01,Sales
18000,Tzvetan,Rajcani,1955-04-19,1999-12-10,9999-01-01,Finance
18012,Reuven,Iacovou,1959-04-06,1998-02-23,9999-01-01,Sales
18087,Sasan,Viele,1958-10-11,1999-12-27,9999-01-01,Quality Management
18107,Augustine,Mondadori,1964-03-29,1998-06-13,9999-01-01,Development
18169,Nathalie,Radwan,1954-09-21,1999-05-16,9999-01-01,Marketing
18270,Guther,Siepmann,1958-05-18,1999-08-21,9999-01-01,Sales
18279,Tianruo,Pena,1960-08-30,1999-01-26,9999-01-01,Research
18293,Atilio,Panwar,1959-05-04,2001-03-22,9999-01-01,Customer Service
18355,Zeydy,Garrabrants,1963-09-30,1999-07-26,9999-01-01,Finance
18510,Laurentiu,Birke,1963-03-19,1998-04-20,9999-01-01,Research
18518,Keung,Gischer,1956-04-09,1999-08-30,9999-01-01,Development
18586,Herbert,Perly,1954-10-16,1999-02-08,9999-01-01,Research
18707,Uta,Luca,1959-04-14,1999-06-05,9999-01-01,Sales
18720,Itzchak,Cooke,1958-01-10,1999-06-10,9999-01-01,Customer Service
